Series;Time;Value
cms;2018-03-26T02:00:00+02:00;8007.730555555556
cms;2018-03-26T14:00:00+02:00;8266.041899441341
cms;2018-03-27T02:00:00+02:00;8038.722222222223
cms;2018-03-27T14:00:00+02:00;9304.419444444444
cms;2018-03-28T02:00:00+02:00;9326.763231197772
cms;2018-03-28T14:00:00+02:00;9397.509749303621
cms;2018-03-29T02:00:00+02:00;9537.069444444445
cms;2018-03-29T14:00:00+02:00;8216.366946778711
cms;2018-03-30T02:00:00+02:00;9605.167597765363
cms;2018-03-30T14:00:00+02:00;9259.71388888889
cms;2018-03-31T02:00:00+02:00;8976.66016713092
cms;2018-03-31T14:00:00+02:00;8459.958333333334
cms;2018-04-01T02:00:00+02:00;6977.258333333333
cms;2018-04-01T14:00:00+02:00;7824.0888888888885
cms;2018-04-02T02:00:00+02:00;7249.544444444445
cms;2018-04-02T14:00:00+02:00;6830.919444444445
cms;2018-04-03T02:00:00+02:00;7424.577777777778
cms;2018-04-03T14:00:00+02:00;9289.428969359331
cms;2018-04-04T02:00:00+02:00;7625.6350974930365
cms;2018-04-04T14:00:00+02:00;8564.997222222222
cms;2018-04-05T02:00:00+02:00;7533.495798319328
cms;2018-04-05T14:00:00+02:00;8085.84
cms;2018-04-06T02:00:00+02:00;7168.111731843575
cms;2018-04-06T14:00:00+02:00;6633.626740947076
cms;2018-04-07T02:00:00+02:00;6767.918994413408
cms;2018-04-07T14:00:00+02:00;8324.458100558659
cms;2018-04-08T02:00:00+02:00;6899.827777777778
cms;2018-04-08T14:00:00+02:00;6377.952380952381
cms;2018-04-09T02:00:00+02:00;8009.709497206704
cms;2018-04-09T14:00:00+02:00;8379.695290858726
cms;2018-04-10T02:00:00+02:00;8190.659154929577
cms;2018-04-10T14:00:00+02:00;8495.78813559322
cms;2018-04-11T02:00:00+02:00;8123.4929971988795
cms;2018-04-11T14:00:00+02:00;7332.447887323944
cms;2018-04-12T02:00:00+02:00;7853.2724719101125
cms;2018-04-12T14:00:00+02:00;7531.554317548746
cms;2018-04-13T02:00:00+02:00;7270.855555555556
cms;2018-04-13T14:00:00+02:00;7829.543661971831
cms;2018-04-14T02:00:00+02:00;7458.823361823362
cms;2018-04-14T14:00:00+02:00;7624.676966292135
cms;2018-04-15T02:00:00+02:00;7540.699716713881
cms;2018-04-15T14:00:00+02:00;7599.271708683474
cms;2018-04-16T02:00:00+02:00;7497.44537815126
cms;2018-04-16T14:00:00+02:00;7128.571030640668
cms;2018-04-17T02:00:00+02:00;7028.733333333334
cms;2018-04-17T14:00:00+02:00;7235.388888888889
cms;2018-04-18T02:00:00+02:00;7200.807799442897
cms;2018-04-18T14:00:00+02:00;7225.9749303621165
cms;2018-04-19T02:00:00+02:00;7050.821727019498
cms;2018-04-19T14:00:00+02:00;6404.440111420613
cms;2018-04-20T02:00:00+02:00;5980.050279329609
cms;2018-04-20T14:00:00+02:00;7000.847222222223
cms;2018-04-21T02:00:00+02:00;7155.57660167131
cms;2018-04-21T14:00:00+02:00;5693.2144846796655
cms;2018-04-22T02:00:00+02:00;3744.95530726257
cms;2018-04-22T14:00:00+02:00;3286.7305555555554
cms;2018-04-23T02:00:00+02:00;5912.522222222222
cms;2018-04-23T14:00:00+02:00;7187.432960893855
cms;2018-04-24T02:00:00+02:00;7104.7138888888885
cms;2018-04-24T14:00:00+02:00;7174.616666666667
cms;2018-04-25T02:00:00+02:00;7096.863888888889
cms;2018-04-25T14:00:00+02:00;6946.877777777778
cms;2018-04-26T02:00:00+02:00;6844.358333333334
cms;2018-04-26T14:00:00+02:00;6926.403899721448
cms;2018-04-27T02:00:00+02:00;6241.543175487465
cms;2018-04-27T14:00:00+02:00;6026.059154929578
cms;2018-04-28T02:00:00+02:00;5971.593314763231
cms;2018-04-28T14:00:00+02:00;5938.1194444444445
cms;2018-04-29T02:00:00+02:00;5986.794444444445
cms;2018-04-29T14:00:00+02:00;5935.479108635098
cms;2018-04-30T02:00:00+02:00;5969.85
cms;2018-04-30T14:00:00+02:00;5917.675
cms;2018-05-01T02:00:00+02:00;5962.027855153204
cms;2018-05-01T14:00:00+02:00;5921.50417827298
cms;2018-05-02T02:00:00+02:00;5589.128491620112
cms;2018-05-02T14:00:00+02:00;5975.687150837989
cms;2018-05-03T02:00:00+02:00;5637.966573816156
cms;2018-05-03T14:00:00+02:00;5242.692737430168
cms;2018-05-04T02:00:00+02:00;6551.991643454039
cms;2018-05-04T14:00:00+02:00;6507.682451253482
cms;2018-05-05T02:00:00+02:00;6593.019444444444
cms;2018-05-05T14:00:00+02:00;6711.675
cms;2018-05-06T02:00:00+02:00;6541.933147632312
cms;2018-05-06T14:00:00+02:00;6459.454038997214
cms;2018-05-07T02:00:00+02:00;5840.722222222223
cms;2018-05-07T14:00:00+02:00;5829.097493036212
cms;2018-05-08T02:00:00+02:00;5737.875
cms;2018-05-08T14:00:00+02:00;6421.433333333333
cms;2018-05-09T02:00:00+02:00;6533.022222222222
cms;2018-05-09T14:00:00+02:00;6595.5446927374305
cms;2018-05-10T02:00:00+02:00;6468.713483146067
cms;2018-05-10T14:00:00+02:00;6139.7206703910615
cms;2018-05-11T02:00:00+02:00;5279.233983286908
cms;2018-05-11T14:00:00+02:00;5749.508333333333
cms;2018-05-12T02:00:00+02:00;6556.991620111732
cms;2018-05-12T14:00:00+02:00;6593.344537815126
cms;2018-05-13T02:00:00+02:00;6560.055865921788
cms;2018-05-13T14:00:00+02:00;6590.0752089136495
cms;2018-05-14T02:00:00+02:00;6637.611111111111
cms;2018-05-14T14:00:00+02:00;6526.747222222222
cms;2018-05-15T02:00:00+02:00;6052.625
cms;2018-05-15T14:00:00+02:00;6029.741666666667
cms;2018-05-16T02:00:00+02:00;5999.6852367688025
cms;2018-05-16T14:00:00+02:00;5362.740845070422
cms;2018-05-17T02:00:00+02:00;6734.5849582172705
cms;2018-05-17T14:00:00+02:00;6590.878504672897
cms;2018-05-18T02:00:00+02:00;6578.340845070423
cms;2018-05-18T14:00:00+02:00;5890.159544159545
cms;2018-05-19T02:00:00+02:00;4455.393854748603
