Series;Time;Value
Usable Cores;2018-02-22T01:00:00+01:00;28108.57222222222
Usable Cores;2018-02-22T13:00:00+01:00;28075.675
Usable Cores;2018-02-23T01:00:00+01:00;28035.116666666665
Usable Cores;2018-02-23T13:00:00+01:00;28084.980555555554
Usable Cores;2018-02-24T01:00:00+01:00;28067.933333333334
Usable Cores;2018-02-24T13:00:00+01:00;28023.833333333332
Usable Cores;2018-02-25T01:00:00+01:00;27946.066666666666
Usable Cores;2018-02-25T13:00:00+01:00;27875.969444444443
Usable Cores;2018-02-26T01:00:00+01:00;27812.644444444446
Usable Cores;2018-02-26T13:00:00+01:00;28039.955555555556
Usable Cores;2018-02-27T01:00:00+01:00;28053.63888888889
Usable Cores;2018-02-27T13:00:00+01:00;28153.742038216562
Usable Cores;2018-02-28T01:00:00+01:00;28149.8
Usable Cores;2018-02-28T13:00:00+01:00;28109.933333333334
Usable Cores;2018-03-01T01:00:00+01:00;28064.26111111111
Usable Cores;2018-03-01T13:00:00+01:00;28027.55277777778
Usable Cores;2018-03-02T01:00:00+01:00;27996.972222222223
Usable Cores;2018-03-02T13:00:00+01:00;27957.37777777778
Usable Cores;2018-03-03T01:00:00+01:00;27893
Usable Cores;2018-03-03T13:00:00+01:00;27863.48888888889
Usable Cores;2018-03-04T01:00:00+01:00;27808.905555555557
Usable Cores;2018-03-04T13:00:00+01:00;27790.244444444445
Usable Cores;2018-03-05T01:00:00+01:00;27716.955555555556
Usable Cores;2018-03-05T13:00:00+01:00;28013.666666666668
Usable Cores;2018-03-06T01:00:00+01:00;28012.975
Usable Cores;2018-03-06T13:00:00+01:00;28094.041666666668
Usable Cores;2018-03-07T01:00:00+01:00;28070.505555555555
Usable Cores;2018-03-07T13:00:00+01:00;28104.908333333333
Usable Cores;2018-03-08T01:00:00+01:00;28057.78888888889
Usable Cores;2018-03-08T13:00:00+01:00;28174.975
Usable Cores;2018-03-09T01:00:00+01:00;28171.283333333333
Usable Cores;2018-03-09T13:00:00+01:00;28177.43888888889
Usable Cores;2018-03-10T01:00:00+01:00;28113.6
Usable Cores;2018-03-10T13:00:00+01:00;28068.63611111111
Usable Cores;2018-03-11T01:00:00+01:00;28043.31111111111
Usable Cores;2018-03-11T13:00:00+01:00;28001.419444444444
Usable Cores;2018-03-12T01:00:00+01:00;27947.383333333335
Usable Cores;2018-03-12T13:00:00+01:00;28143.144444444446
Usable Cores;2018-03-13T01:00:00+01:00;28125.183333333334
Usable Cores;2018-03-13T13:00:00+01:00;28126.255555555555
Usable Cores;2018-03-14T01:00:00+01:00;28123.816666666666
Usable Cores;2018-03-14T13:00:00+01:00;28094.566666666666
Usable Cores;2018-03-15T01:00:00+01:00;28035.205555555556
Usable Cores;2018-03-15T13:00:00+01:00;28088.80277777778
Usable Cores;2018-03-16T01:00:00+01:00;28094.730555555554
Usable Cores;2018-03-16T13:00:00+01:00;28065.133333333335
Usable Cores;2018-03-17T01:00:00+01:00;28020.71111111111
Usable Cores;2018-03-17T13:00:00+01:00;28005.283333333333
Usable Cores;2018-03-18T01:00:00+01:00;28004.972222222223
Usable Cores;2018-03-18T13:00:00+01:00;27926.777777777777
Usable Cores;2018-03-19T01:00:00+01:00;27889.775
Usable Cores;2018-03-19T13:00:00+01:00;27996.82222222222
Usable Cores;2018-03-20T01:00:00+01:00;27975.88611111111
Usable Cores;2018-03-20T13:00:00+01:00;28004.030555555557
Usable Cores;2018-03-21T01:00:00+01:00;27972.5
Usable Cores;2018-03-21T13:00:00+01:00;28061.219444444443
Usable Cores;2018-03-22T01:00:00+01:00;27847.13888888889
Usable Cores;2018-03-22T13:00:00+01:00;27007.286111111112
